,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
28,conv52,1,0.2,220,trustworthy,0.7075347627236327,0.5984492405574064,intelligent,0.6366136433204674,0.4809152008352333,attractive,0.7175482716900213,0.5982895769666243,aggressive,0.7039587794583226,0.595289147835631,responsible,0.6848868829445685,0.5873272335999778,sociable,0.7318920205768876,0.6360632069916305
29,conv52,1,0.2,230,trustworthy,0.7116091869436766,0.592751180880839,intelligent,0.6405618342686984,0.4723290835917529,attractive,0.7230293968979444,0.5977197574916093,aggressive,0.7073039096649478,0.5931797119610052,responsible,0.6884746867272828,0.5837422126486806,sociable,0.734641310040774,0.6333281941390739
30,conv52,1,0.2,240,trustworthy,0.7131909166270768,0.5953578684666981,intelligent,0.6442027318553668,0.48006088963731136,attractive,0.7256106174896482,0.5973362006538319,aggressive,0.708494403096842,0.5951547918083809,responsible,0.6895551357472728,0.5864842791806147,sociable,0.7374808917353993,0.6291212600204291
31,conv52,1,0.2,250,trustworthy,0.7168332174354424,0.6069205961292815,intelligent,0.6477404227759779,0.48498845399584384,attractive,0.7295567454137882,0.5970781721620627,aggressive,0.7129334078058556,0.6025171270373668,responsible,0.6915557981036955,0.5921978783331941,sociable,0.739602496103717,0.6338406526558262
32,conv52,1,0.2,260,trustworthy,0.7207897186501007,0.6140964563227831,intelligent,0.6510363862936039,0.4909178816543831,attractive,0.7320353245053315,0.6007382474513749,aggressive,0.7166575017092061,0.612705012102,responsible,0.6954385233036989,0.5987139756229564,sociable,0.7451089845945091,0.6375861558440733
33,conv52,1,0.2,270,trustworthy,0.7229655155317665,0.6143996049088685,intelligent,0.654125152348666,0.4912985854928205,attractive,0.7372381663457189,0.6040048859088818,aggressive,0.7191681197717356,0.6089063531650319,responsible,0.6999474352491878,0.5960577549634153,sociable,0.7491111319462189,0.6409541067489598
34,conv52,1,0.2,280,trustworthy,0.7247282569390684,0.6219723108415325,intelligent,0.6594212773322893,0.5001188146333062,attractive,0.742196351355607,0.6091605965734267,aggressive,0.72045110958657,0.6100960982939541,responsible,0.7014833408928384,0.5990594928733377,sociable,0.7518851924347213,0.6410026622581294
35,conv52,1,0.2,290,trustworthy,0.7263888321020232,0.6194708370737386,intelligent,0.6611421646099008,0.5007837860849368,attractive,0.7469459715877265,0.6085931801616945,aggressive,0.7245055514582741,0.6075045901874488,responsible,0.7026350923932584,0.5965341043256593,sociable,0.754430717978014,0.6390105638065356
36,conv52,1,0.2,300,trustworthy,0.7310241602427514,0.6204344006040946,intelligent,0.6664010535797362,0.496188669586137,attractive,0.7518096041502977,0.6136084218284736,aggressive,0.7270855190099195,0.6043238804227521,responsible,0.7059060525226446,0.5999825262023308,sociable,0.760789147765598,0.6444430754223351
37,conv52,1,0.2,310,trustworthy,0.7343861165735724,0.6239774544231179,intelligent,0.669627022243929,0.5031726353723378,attractive,0.7542704195886463,0.6151225375184355,aggressive,0.7317522665361331,0.6058436127982825,responsible,0.7092831497989733,0.6027846293736471,sociable,0.7632471600424554,0.6491027634231925
38,conv52,1,0.2,320,trustworthy,0.7374514901987319,0.6207040937592264,intelligent,0.6724816694181422,0.502763362348754,attractive,0.7567457187786946,0.6181428161291279,aggressive,0.7329466436150776,0.6036536951564613,responsible,0.713108760272704,0.597340970980951,sociable,0.7652195166696102,0.6457030538847703
39,conv52,1,0.2,330,trustworthy,0.7410050426998384,0.621219788960385,intelligent,0.6780166856655656,0.5095679306804998,attractive,0.75950805832772,0.6184721237412428,aggressive,0.736317696184982,0.605300612484786,responsible,0.7183353910990401,0.6024534917305724,sociable,0.7660353646913104,0.6474952694770879
40,conv52,1,0.2,340,trustworthy,0.7434957131419224,0.6179870283681019,intelligent,0.67990989277608,0.5107489000452685,attractive,0.7618733132439688,0.6166304519493361,aggressive,0.7394060225909191,0.6037187090226378,responsible,0.7208131943440422,0.5988089235264207,sociable,0.7682764657774902,0.6473445589662503
41,conv52,1,0.2,350,trustworthy,0.7485232236119105,0.6030374946502097,intelligent,0.6832500375473982,0.5079080813775572,attractive,0.7660257282071665,0.6219658223167248,aggressive,0.7417338391345994,0.5953585242150569,responsible,0.7242904618979296,0.592232058676735,sociable,0.7709934217485408,0.6440322964705315
42,conv52,2,0.2,150,trustworthy,0.661354719723424,0.6161561373373606,intelligent,0.5881481743365168,0.5311744451337854,attractive,0.6812114216488164,0.5928576542372624,aggressive,0.6547340805669905,0.6247480083356365,responsible,0.6417736631167525,0.6231626173887144,sociable,0.6730118983901926,0.6476896711750456
43,conv52,2,0.2,160,trustworthy,0.6654666940520048,0.6174937997021964,intelligent,0.5931316603082467,0.5369537579638094,attractive,0.6870459233878182,0.5987174325047745,aggressive,0.6614990702369715,0.6127461446746656,responsible,0.6490495893957844,0.6193551631802812,sociable,0.6796553074993769,0.6478158250302735
44,conv52,2,0.2,170,trustworthy,0.6731166455371055,0.6251474729652575,intelligent,0.5993642734610988,0.5432016597866679,attractive,0.6908126779924161,0.6076979427949667,aggressive,0.6671132384310152,0.6183787402808321,responsible,0.6535712875706439,0.6259000306514843,sociable,0.6936441377544775,0.6636717579448312
45,conv52,2,0.2,180,trustworthy,0.6856293114484118,0.6273548739091108,intelligent,0.6057680434208784,0.5522418225243668,attractive,0.6962166295372791,0.6080599884987307,aggressive,0.6793831151260241,0.6154658464360396,responsible,0.6607134715907488,0.6296324554476168,sociable,0.7033075547839042,0.6661623972155307
46,conv52,2,0.2,190,trustworthy,0.6883893536664348,0.6332044498353956,intelligent,0.6112025448950041,0.5499721465549703,attractive,0.7036467728000811,0.6088822568169243,aggressive,0.6808701233392537,0.6170870320125633,responsible,0.6634982159813315,0.6271837734465884,sociable,0.7086078924143707,0.6675413777269962
47,conv52,2,0.2,200,trustworthy,0.6909350836583434,0.6322817457345947,intelligent,0.6153610592358759,0.5579446375183135,attractive,0.7074334700460265,0.6131074124189777,aggressive,0.6855251748230752,0.619522868726426,responsible,0.6686116683739456,0.634549425941525,sociable,0.7118312117384548,0.6665263282944451
48,conv52,2,0.2,210,trustworthy,0.6936474030757617,0.6358808644580347,intelligent,0.6182976145551251,0.5553873301716374,attractive,0.7112134740952667,0.6175692665339219,aggressive,0.6867843210734281,0.6273692391205113,responsible,0.6701653925336226,0.6336092289437104,sociable,0.715158083705635,0.6665351942090953
49,conv52,2,0.2,220,trustworthy,0.6969953793028181,0.630409734906013,intelligent,0.6217027747665924,0.5533445068070413,attractive,0.7167158434778133,0.6179038842362726,aggressive,0.6905073079917896,0.6281547805815346,responsible,0.6727818960648718,0.6321840973496343,sociable,0.7170104384355958,0.6675235414302948
50,conv52,2,0.2,230,trustworthy,0.7018975672319138,0.6303769623583869,intelligent,0.6270133675960884,0.5556564255444516,attractive,0.7205582214280143,0.6173658391700967,aggressive,0.6967958162946929,0.6306298212132367,responsible,0.6780727129546279,0.621962036913554,sociable,0.7235061008046028,0.6650195927863957
51,conv52,2,0.2,240,trustworthy,0.703965684286745,0.6308855895994064,intelligent,0.6311216623458313,0.5497679286173448,attractive,0.7239396983029073,0.6176034380001698,aggressive,0.697861124798221,0.6323548518615212,responsible,0.6811031448834455,0.6194378855668207,sociable,0.7243256003409969,0.6666596799781122
52,conv52,2,0.2,250,trustworthy,0.7093861420200029,0.6340658263281136,intelligent,0.6387533564234847,0.5441724456125797,attractive,0.7283112568101199,0.6137930512468636,aggressive,0.7043499419129744,0.6247691905100755,responsible,0.6869904027725928,0.6082670721249284,sociable,0.7281980388836029,0.6699913811526176
53,conv52,2,0.2,260,trustworthy,0.7146265795559573,0.6339497071382599,intelligent,0.6471120066386856,0.5349718196493503,attractive,0.7309692633968349,0.6065657352915297,aggressive,0.7098892532111887,0.6365315175500217,responsible,0.6923038410207056,0.6074205429035077,sociable,0.7356577102286512,0.6680158469013048
54,conv52,2,0.2,270,trustworthy,0.7181279023521281,0.6336145601581876,intelligent,0.6525855072899445,0.5297999679002775,attractive,0.7349409602164101,0.6118478421444025,aggressive,0.713872285223968,0.6324841535107718,responsible,0.6957323852772566,0.6018469666716617,sociable,0.740322602183284,0.6634522744126928
