,feat_layer,rand_num,test_ratio,pca_num,imp1,train1,test1,imp2,train2,test2,imp3,train3,test3,imp4,train4,test4,imp5,train5,test5,imp6,train6,test6
10,conv51,0,0.2,400,trustworthy,0.7579768475631443,0.5410319915927538,intelligent,0.6950299154355862,0.4087480927942823,attractive,0.7531035109123265,0.6381344394901208,aggressive,0.7462154721508738,0.60622298320522,responsible,0.7474004854709222,0.48691187744053005,sociable,0.767229186501445,0.6138791926373854
11,conv51,0,0.2,410,trustworthy,0.7606897802894659,0.5409662938907515,intelligent,0.6977447535798083,0.41191230542489576,attractive,0.7545638332885064,0.6343295619839385,aggressive,0.7479169523138129,0.6081160533868106,responsible,0.7500038816150815,0.49429859075312477,sociable,0.7688674321333576,0.6128381296584409
12,conv51,0,0.2,420,trustworthy,0.7631288147301764,0.541872891684186,intelligent,0.7031116521849674,0.41093898655223404,attractive,0.7608442242663549,0.6346080153983034,aggressive,0.7489857579912583,0.6072660730720114,responsible,0.7539442010841091,0.49710718140842103,sociable,0.7734820529871824,0.6148143080829092
13,conv51,0,0.2,430,trustworthy,0.7658664623095085,0.5426297439629221,intelligent,0.7066009096233341,0.4109394104321035,attractive,0.7636468833062249,0.6402897221105783,aggressive,0.7516508288211823,0.6069806193246646,responsible,0.7592860279992021,0.49763812939631025,sociable,0.7769078528622599,0.6190565118110816
14,conv51,0,0.2,440,trustworthy,0.7691878783401908,0.5387204990093201,intelligent,0.7085394696396955,0.4119088592725371,attractive,0.7683361468814418,0.6341771344908417,aggressive,0.756733875716358,0.6048133761535648,responsible,0.7620571194244964,0.5004188186986926,sociable,0.7816577355232469,0.6178892857915426
15,conv51,0,0.2,450,trustworthy,0.771175633286314,0.5392293329271239,intelligent,0.7096727079199683,0.4120743515876391,attractive,0.7700989611971607,0.6348439327290839,aggressive,0.7610479823009431,0.6093905185006294,responsible,0.7632984599117213,0.5028105906971364,sociable,0.7841206984855271,0.6231320465599521
16,conv51,0,0.2,460,trustworthy,0.7727926829198472,0.5336462889252102,intelligent,0.7119057255992394,0.41293145143070104,attractive,0.7725355173440899,0.6324415647527707,aggressive,0.7631015705017238,0.6005311006348599,responsible,0.7651783820836658,0.4984545322865363,sociable,0.7858954779620414,0.6217210450872445
17,conv51,0,0.2,470,trustworthy,0.7755396677261739,0.532890327322608,intelligent,0.7157052704536379,0.40726504300401206,attractive,0.7752746098785261,0.6372286306605697,aggressive,0.7666422249076223,0.5923454282370879,responsible,0.7681002279182589,0.4969527501724741,sociable,0.7894389972300655,0.6248999254036779
18,conv51,0,0.2,480,trustworthy,0.7799630919376265,0.5424952428082679,intelligent,0.7180206977740762,0.4109564822446974,attractive,0.7825029611866368,0.6415169624770266,aggressive,0.7687552427055667,0.5946187750985567,responsible,0.770640165062227,0.499715694745652,sociable,0.7939993730324856,0.6254692801139646
19,conv51,0,0.2,490,trustworthy,0.7832278667634126,0.5394844047400379,intelligent,0.7219720652666335,0.4092311662040541,attractive,0.7854371126071824,0.6409834950379715,aggressive,0.7714601320313815,0.5870156413203422,responsible,0.7747635943952758,0.49572329754478406,sociable,0.7961545570619007,0.6215383713817484
