img_name,smile,gender,age,glasses,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,trustworthy,intelligent,attractive,aggressive,responsible,sociable,e_id,vc binary,vc fund,total binary,total fund,IPO,success,total_RDs
e7343_cb.jpg,0.852,male,34.6,NoGlasses,0,0.006,0,0,0.852,0.143,0,0,4.856672,5.027894,5.3852887,3.380311,5.0985303,6.039968,e7343,0,5.226349824,1,5.226349824,0,1,2
e4012_cb.jpg,1,male,45.5,NoGlasses,0,0,0,0,1,0,0,0,4.8064528,4.89634,3.988904,3.678565,5.030279,5.6056805,e4012,0,0,0,0,0,0,0
e13124_cb.jpg,0.001,male,41.9,ReadingGlasses,0.007,0.003,0.001,0,0.001,0.985,0.003,0,5.3497787,5.071993,4.8474274,2.6021547,5.587038,6.07246,e13124,0,0,0,0,0,0,0
e2769_cb.jpg,0.925,male,50.3,NoGlasses,0.003,0.001,0.003,0,0.925,0.068,0,0,5.6332097,5.404012,4.654249,2.3805327,5.571991,6.26042,e2769,0,0,0,0,0,0,1
e12172_cb.jpg,0.661,male,35,NoGlasses,0.027,0.025,0.029,0,0.661,0.251,0.002,0.005,5.5870657,5.4836607,6.3204093,2.6379437,5.557547,7.2391105,e12172,1,6.792391689,1,6.792391689,0,1,4
e13771_cb.jpg,1,male,40.7,ReadingGlasses,0,0,0,0,1,0,0,0,5.719762,4.9035673,3.0350833,2.2285933,5.743363,6.3883247,e13771,0,0,0,0,0,0,0
e8172_cb.jpg,0.05,male,39.4,ReadingGlasses,0.003,0.007,0.001,0,0.05,0.932,0.005,0.001,5.3968606,5.296637,4.183171,3.4000955,5.564584,5.80118,e8172,0,0,0,0,0,0,0
e10632_cb.jpg,1,female,35.2,NoGlasses,0,0,0,0,1,0,0,0,6.1578298,5.9288893,5.875835,2.38128,6.027532,7.061921,e10632,0,5.079181246,1,5.079181246,0,1,1
e577_cb.jpg,1,male,38.4,Sunglasses,0,0,0,0,1,0,0,0,5.3267546,4.799279,4.86596,2.7958283,5.4394584,6.407607,e577,0,0,0,0,0,0,0
e1338_cb.jpg,0.315,male,34.1,ReadingGlasses,0.001,0.019,0.001,0,0.315,0.659,0.004,0,5.021044,5.0233493,5.1311297,3.3031812,4.87282,5.9126835,e1338,1,6.653212514,1,6.653212514,0,1,2
e12351_cb.jpg,1,male,37.1,NoGlasses,0,0,0,0,1,0,0,0,5.7392855,5.4571366,3.985755,2.8286428,5.745614,5.990015,e12351,0,6,1,6,0,1,1
e7442_cb.jpg,1,male,36.2,NoGlasses,0,0,0,0,1,0,0,0,5.50482,5.3449497,4.0330334,3.185861,5.4602394,5.823235,e7442,0,0,0,0,0,0,0
e7839_cb.jpg,1,male,33.5,NoGlasses,0,0,0,0,1,0,0,0,5.4053273,5.4894543,4.1120844,3.3559113,5.5497265,5.6840734,e7839,0,0,0,0,0,0,1
e8477_cb.jpg,0.705,male,38.7,NoGlasses,0,0.002,0,0,0.705,0.289,0.004,0,5.4183097,6.138415,5.1613674,3.88217,6.0714984,5.368146,e8477,0,0,0,0,0,0,0
e8408_cb.jpg,0.993,male,50.1,NoGlasses,0,0,0,0,0.993,0.007,0,0,6.0466914,6.300296,4.050429,3.0869143,6.2683487,5.885673,e8408,0,0,0,0,0,0,0
e11806_cb.jpg,0,male,26.6,NoGlasses,0.032,0.005,0.002,0,0,0.959,0.001,0,4.0885954,3.9431555,5.541147,2.969992,4.2481914,6.132862,e11806,0,0,0,0,0,0,0
e2751_cb.jpg,0,male,23.4,NoGlasses,0.005,0,0,0,0,0.991,0.003,0,4.136135,4.8769135,6.0658894,4.8514266,4.401334,4.5275497,e2751,0,0,0,0,0,0,0
e10677_cb.jpg,0.605,male,40.6,NoGlasses,0,0.002,0,0,0.605,0.392,0,0,5.8911347,5.6414714,5.675765,3.0437646,5.72209,5.8257904,e10677,0,0,0,0,0,0,0
